,Tweets,Time,Username
0,"Happy New Year makers, crafters, tinkerers one and all. Here's to 2011!",12/31/2010,makerfaire_uk
1,RT @iffpraxis: RT @emeka_okafor: Lets Kickstart the Laboratories with Innovation Centres http://bit.ly/fnEBh2  #barcamp #MakerFaire #africa,1/1/2011,debebryant
2,Looks like #MakerFaire NY 2011 is on for September!  I wonder how big we can make the 3D Printer Village this time?,1/2/2011,3DVillage
3,RT @makerfaire_uk: If you haven't booked hotels yet for @makerfaire_uk @JustinBieber is playing in Nc'stle that weekend so rooms going fast.,1/21/2011,scienceatlife
4,@make @VanHackSpace @makerfaire_van Maker Faire Vancouver is on!!!!!  So excited. Who's going? http://ow.ly/3IN6b,1/23/2011,Leigh_Christie
5,"It's months away but get psyched, Maker Faire is coming to Vancouver! @makerfaire_van",1/24/2011,VIAwesome
6,makerfaire vancouver on twitter @makerfaire_van,1/24/2011,tangibleint
7,"Southern friends: You. Must. Go. RT @makerfaire: Announcing Maker Faire: North Carolina , June 18, 2011: http://bit.ly/eI96ig",1/3/2011,twillian
8,"Announcing Maker Faire: North Carolina , June 18, 2011: 

We got an email this morning from the fine folks who a... http://bit.ly/eI96ig",1/3/2011,makerfaire
9,So apparently the world is instead supposed to end May 21 2011. Makerfaire is definitely the safest place to be at that time #makerfaire,1/5/2011,beak90
10,I subscribed to MakerFaire's channel on YouTube. http://www.youtube.com/user/MakerFaire?feature=autoshare,1/5/2011,denzuko
11,"Spent the eve talking to a librarian into bikecore, @makerfaire, historic architecture + @neilhimself. #awesome #alamw11",1/6/2011,1ThievingMagpie
12,"RT @ScienceFest: We need 135 ""to let"" signs for a @makerfaire_uk project! Seen any pretty ones in Toon? Estate agent yourself? Let us know!",1/6/2011,MrsNLMac
13,"Oh yes RT @ScienceFest: Looking at list for @makerfaire_uk So many exciting, crazy, creative, wonderful things coming our way 12 & 13 March!",1/6/2011,scienceatlife
14,"Robots, Sharks and Tesla Coils: 2010's Best Wired.com Videos #SanFrancisco #MakerFaire #BayBridge http://blodic.us/129423359626 #USA",1/6/2011,blodicus
15,"lovely plotting based phone chat with @coldclimate - @makerfaire_uk + @full_circle_art based plans, for starters",1/6/2011,sc_r
16,Done a bit of viewing in the attic lab. Work to commence soon! Gotta have something exciting and #diybio for Makerfaire Newcastle!,1/6/2011,onetruecathal
17,Watch Global Village Construction Set in 2 Minutes on Vimeo! http://vimeo.com/16106427 via@makerfaire awesome,1/7/2011,xanthm
18,"Green Project Contest -- The winners!:  

We were thrilled by the response we got to our Green Project Contest, ... http://bit.ly/i3qw7I",1/7/2011,makerfaire
19,"In other news, very excited to receive a long-exposure pinhole camera from @ScienceFest for a @makerfaire_uk project.",1/7/2011,rachcolling
20,vancouver/canadian makerfaire site almost done. feels good. #makerfaire #fb,1/9/2011,vincentpants
21,"On that note, @mightyohm, I wish Chicago or Minneapolis could support a @makerfaire.",1/9/2011,adamwwolf
22,May have something to do with the glares I get when I mention @makerfaire to Austinites.  I think there is a lot of pain re: its exit.,1/9/2011,mightyohm
23,Build a mini-fablab for 3000 euros http://bit.ly/eWiJNc #fablab #MakerFaire,1/9/2011,emeka_okafor
24,RT @TEDNews: 2day's #TED: Dale Dougherty tells y we're all makers at heart http://bit.ly/fVILM9 #africa #hackerspace #barcamp #MakerFaire,2/1/2011,emeka_okafor
25,"Guess what's coming to Vancouver...! @MakerFaire_van! Tomo: learn how to apply to be a Maker, be a sponsor or volunteer http://bit.ly/epSotW",2/11/2011,bcliving
26,We're getting really excited about @MakerFaire in Raleigh! #hi_ral http://makerfairenc.com/,2/21/2011,ornamentea
27,"Oh look! @makerfaire_van has a shiny new Facebook fan page. Like it for updates on the event, how to get involved, etc! https://www.facebook.com/pages/Maker-Faire-Vancouver/191089020913287 …",2/22/2011,kpwerker
28,Treehouse & @site3coLab are co-organizing a Mini Maker Faire in Toronto May 7-8! Check out http://bit.ly/eFKsaL & get updates @MakerFaire_TO,2/27/2011,treehousegroup
29,Please RSVP if you're interested in attending our Makers Meeting (vancouver(at)makerfaire(dot)ca) http://tinyurl.com/4kahsoy,2/3/2011,vanmakerfaire
30,"Crafty #FF: @BrettBara - Always adorable #crochet, #knitting & fun food projects, like her Crobots from @MakerFaire we featured this week!",2/4/2011,craft
31,Call for Makers for Bay Area @MakerFaire is up! Hurrah! Countdown to my Happy Place begins! http://bit.ly/glvSAl,2/7/2011,rachel_a_barry
32,- @make has announced the dates for @makerfaire 2011 + Maker Faire Bay Area 2011 Call For Makers http://ow.ly/3StMM ,2/8/2011,LaughingSquid
33,"RT @MakerShed The ""Call for Makers"" is now open for Maker Faire Bay Area 2011! #makerfaire -- http://cot.ag/71jArm",2/8/2011,timoreilly
34,It's DiYVR day at @VIAwesome! And it's all about @makerfaire_van's call for makers. http://vancouverisawesome.com/2011/03/01/diyvr-maker-faire-vancouver-call-for-makers/ … You want to be a part of this.,3/1/2011,kpwerker
35,A new reward for @MakerFaire_TO donations. Donate $25+ and you get a robot watercolour drawing from me! http://www.ulule.com/mini-maker-faire-toronto/news/robots-everywhere-robots-907/ …,3/27/2011,johnmartz
36,Minty geeks and flirty beermats http://www.bbc.co.uk/news/technology-12893426 BBC technology does Maker Faire UK #mfuk,3/30/2011,makerfaire_uk
37,.@makerfaire holds a townhall on the Bay Area Event - March 15th @TechShopSF: http://bit.ly/gU1pzt,3/4/2011,BayAreaSciFest
38,An Arduino Mega wired up to show just how many outputs it has. (http://oom.lt/hSjrn1)(some LED bling that will be with us at @makerfaire_uk),3/5/2011,oomlout
39,Coming to @makerfaire_uk? Join us on Friday night for the already-legendary UK Hackerspaces meetup! http://bit.ly/gx1cUN,3/7/2011,londonhackspace
40,"Got Craft Spring vendors announced! http://blog.gotcraft.com plus DJ Duff, @spoolofthread , @makerfaire_van , food carts and more!",3/8/2011,LFieldsShoppe
41,In Newcastle this weekend? Want to go to #Makerfaire? Follow & RT for your chance to win tickets!,3/8/2011,element14_Avnet
42,"Red Bull is ""Calling all Inventors, Makers and Hackers"" to #rbcreation  http://win.gs/h8uJ4L #makerfaire via @emeka_okafor",4/6/2011,gkofiannan
43,"FOREVER FEEL SHAME if you miss our @makerfaire DAY 2 lineup: Hyperwave, Cris2600, Louis Gorenfeld,The Glowing Stars and Trustfundkilla!",5/10/2011,pulsewaveSF
44,"DON'T MISS our @makerfaire DAY 1 lineup:  Doc Pop, starpause, Jake Kaufman (VIRT), The Glowing Stars, crashfaster & Mr. Spastic!",5/10/2011,pulsewaveSF
45,Check out this *fantastic* mini-doc on mini-MakerFaire Toronto (@MakerFaire_TO) by Ryan Varga (@ryvarga ): http://vimeo.com/23589700,5/11/2011,malexw
46,Want to put on a Mini Maker Faire? Come to the How to Make a Maker Faire Workshop right after @MakerFaire: http://bit.ly/iTlBNK,5/11/2011,bjepson
47,#FF the 13th Edition: @jimmyfallon @djspooky @makerfaire @burdastyle @DIYgirls @FairyKate2009 @astylemaster & all doing #craftparty,5/13/2011,Etsy
48,"@babbageboole @donttrythis @makerfaire Adam will be there!  Sunday, Noon on the ArcAttack stage in Fiesta Hall.",5/14/2011,dalepd
49,"Time to work on my talk for this years @makerfaire ""Creating Killer Applications"" (1:30 on 5/21) .. get ready for a few surprises! #webos",5/14/2011,philmckinney
50,We’re excited for our #AngryBirds tournament & Golden Egg hunt at #MakerFaire! Whoever finds the most eggs wins an #HP PC! ^AF,5/16/2011,HP
51,There seem to be some cool projects at @makerfaire this year.  Video preview - http://www.youtube.com/watch?v=eZNPAFKz_As&,5/16/2011,jeriellsworth
52,The @fluxfoundation will be talking @makerfaire 5/21 5pm. We will be giving a preview of our TED talk. Come by. Learn How to Make Mountains.,5/16/2011,jesshobbs
53,New! New Models for Education: #MakerFaire and the #YoungMakers program http://bit.ly/lfFhNE (via@makerfaire),5/17/2011,edutopia
54,Make sure to drop by @sparkfun 's introductory Lilypad workshop this weekend at the #makerfaire http://ning.it/jynt7P,5/18/2011,fashioningtech
55,Be sure to let @artfuture and I know if you'll be at #MakerFaire this year. Past interviews: http://www.youtube.com/artfuture#g/p,5/2/2011,quietaction
56,Join IDEO @ #MakerFaire! Playing games w/pedometers #health http://ow.ly/4ZGHt #wellness #fitness #co_health,5/20/2011,ideo
57,".@MAKE magazine joins Flipboard, just in time for @MakerFaire, the world’s largest DIY festival http://flpbd.it/make",5/20/2011,Flipboard
58,I swear... Tesla coils never get old. #MakerFaire,5/20/2011,drkiki
59,We're coming to #makerfaire this weekend! Visit our booth & learn how to build your own robot http://goo.gl/lZgIp (via @sketchup) #skpr,5/20/2011,Google
60,"There is *some* kind of rapture going on this weekend, since all my Bay Area friends are disappearing to #MakerFaire. #LeftBehindInNYC!",5/20/2011,marcprecipice
61,I'm pretty sure my rapture tomorrow will be at @makerfaire,5/20/2011,wahoo5
62,"""Why Shop Class Is Still Relevant""-Dale Dougherty http://bit.ly/lOiKOa #makerfaire #mfa11",5/20/2011,emeka_okafor
63,This is awesome “@makerfaire: HP's @philmckinney has announced Hacking #Autism. Help create technology to hack away... http://ow.ly/1t4w68 ”,5/21/2011,wkmyrhang
64,Interactive Wall of Lights at @makerfaire! #MakerFaire  http://twitpic.com/50xtk2 ,5/21/2011,bonniegrrl
65,#LEGO Stay Puft Marshmallow Man! #Ghostbusters @makerfaire #makerfaire  http://twitpic.com/50xqqn ,5/21/2011,bonniegrrl
66,"RT @NASA_Phonesat: Phonesat is exhibiting at Maker Faire, come visit us at booth #296 in the expo hall. @makerfaire #makerfaire",5/21/2011,NASAWatch
67,Lived thru #makerfaire talk. We now return you to your regular teledildonics programming.,5/21/2011,qDot
68,A Maker teaching kids about electricity the best way he knows how: with a 400W handheld Tesla coil #makerfaire  http://yfrog.com/h3xrqacj ,5/21/2011,PopMech
69,"Forget Biofuels, children seem to be the next alternative energy source. I guess they really are our future. #makerfaire",5/21/2011,STEVEQUINNTOGO
70,Who says #makerfaire DIY types can't be fashionable? Exhibit a) The wooden tie  http://yfrog.com/h4jgqjkj ,5/21/2011,PopMech
71,EFF is at @makerfaire Bay Area booth #112 all weekend! Stop by for a little open source Step Mania.,5/21/2011,EFF
72,Next generation of PC Overclockers builds a dual-gpu SLI rig at the @ASUS Labs DIY booth at #MakerFaire http://twitpic.com/50qlvu,5/21/2011,ASUSUSA
73,Maker Faire is my Burning Man. #makerfaire,5/21/2011,redross
74,"Here is the video ""Jordan's Story"" I showed @makerfaire to launch Hacking Autism.  http://youtu.be/hGxbhAQ8ldc   #autism",5/21/2011,philmckinney
75,kids rotating the boulders on Colossus at @makerfaire http://post.ly/24oZC,5/21/2011,LaughingSquid
76,"The state of arduino #makerfaire ""who uses arduino?"" entire room holds up their hands http://lockerz.com/s/103622067",5/21/2011,SiliconFarmer
77,getting my fix at @ritualcoffee at @makerfaire http://post.ly/24o7T,5/21/2011,LaughingSquid
78,Hanging out at @MakerFaire!  http://ow.ly/i/bSCX,5/21/2011,Revision3
79,"Teaching knit, crochet and stitching at #Makerfaire in San Mateo - awesome!",5/21/2011,TNNAorg
80,Goats at the cheesemaking workshop at #makerfaire! Via @jaymiheimbuch http://instagr.am/p/EiKBR/,5/21/2011,TreeHugger
81,Google's Self Driving Cars: Sebastian Thrum #MakerFaire CenterStage http://cot.ag/jRbSbU,5/21/2011,make
82,Check out these kids designing & building their own 3D toys #makerfaire via @jaymiheimbuch http://instagr.am/p/EiIn3/,5/21/2011,TreeHugger
83,Attack of the robots!!  Google Android bot spotted at #MakerFaire.  Come check out the @ASUS Labs DIY booth. http://twitpic.com/50oa7j,5/21/2011,ASUSUSA
84,You can find the tutorial for @Leethal's no-sew t-shirt grocery bags over on #MakeProjects! http://cot.ag/lkFKxw #upcycle #MakerFaire,5/21/2011,craft
85,"OH @MakerFaire, 8yo boys to their father, standing in front of a remote-controlled fire-breathing dragon: ""Dad, what's special about this?""",5/21/2011,xeni
86,"OH @MakerFaire, a father to his 6yo daughter: ""Don't get run over by the cupcake, sweetie.""",5/21/2011,xeni
87,"""In a free society you get what you celebrate."" - Thomas Kalil #MakerFaire",5/21/2011,willowbl00
