,Tweets,Time,Username
0,@jdanforth I submitted our light to the MakerFaire- you best get yo pasty white butt over to TSD tomorrow to help me finish it!,1/2/2010,cyberbiota
1,"Crazy Cool Concept - The Maker Faire for DIY entrepreneurs, www.makerfaire.com",1/2/2010,ChoosePeople
2,RT @makerfaire: Call for Makers now open for 5th Annual Maker Faire Bay Area 2010 www.makerfaire.com,1/20/2010,craft
3,"RT @makerfaire: Maker Faire 2010: Call for Makers!: 
 http://bit.ly/6H8oyj",1/21/2010,craft
4,I am looking for an 80/20 or T-Slots modular framing solution except I want wood. I saw it at makerfaire & cant remember names. #asktwitter,1/4/2010,chews
5,@makerfaire When do tickets for 2010 go on sale?!,1/5/2010,russfan
6,"Steampunk Gear at @makerfaire 2009 video, mostly featuring @steamteam member @TomBanwell's booth: http://ow.ly/U6XJ",1/7/2010,steamteam
7,"Reminder to Wikipedia/Wikimedia fans in #SFO area: #MakerFaire coming up in late May, we'll want to do something awesome! http://ur1.ca/j98o",1/7/2010,brionv
8,"#CES Microsoft partner, open dev model, sync SDK beta soon, u of m students dev relevant apps challenge, winner makerfaire ford ride",1/7/2010,contentnow
9,Accepted! I am going to be building one of these http://bit.ly/4ocKTV (and other math fun) at @makerfaire_uk Newcastle in March.,1/8/2010,Gelada
10,"RT @amcewen: Woohoo!  Pack your bags @Bubblino, we're off to @makerfaire_uk in March.  confirmation through after 1st eaten by spam filters",1/8/2010,makerfaire_uk
11,RT @anachrocomputer: I'm off to the Maker Faire in Newcastle!  My proposal has been accepted!,1/8/2010,makerfaire_uk
12,RT @CuriosityCol: Hurrah! We're walking fm Ipswich to Newcastle (google-map it) for Maker Faire in March! Navigating by curious means :),1/8/2010,makerfaire_uk
13,@anachrocomputer  I'd love to go to @makerfaire_uk  but I'm busy that weekend I think doing an EVcast live :(,1/8/2010,aminorjourney
14,Looks like I might've spoken a bit prematurely about @bubblino and my trip to @makerfaire_uk.  *fingers crossed* :-),1/8/2010,amcewen
15,@makerfaire_uk or (given that mcqn.net is with same provider and maybe similar spam filters...) adrian.mcewen@gmail.com.  Cheers,1/8/2010,amcewen
16,RT @makerfaire_uk: Proposals have been reviewed & makers notifications sent - shaping up to be a great event.  Thanks to all who submitted.,1/8/2010,OReillyUK
17,RT@arlloyd @ScienceFest @makerfaire_uk is looking for 15 local inventors/crafters for 2010. Details at http://bit.ly/aUQsxb,2/12/2010,AVFestival
18,Detroit Auto-Parts Suppliers Branch Out to Other Industries http://nyti.ms/c7oCMM Good reason for #makerfaire Detroit http://makerfaire.com,2/16/2010,timoreilly
19,"We don't think ShopBots are mundane, and neither does @Make. Thanks, @ptorrone. See you at @MakerFaire http://ow.ly/19SLL",2/22/2010,ShopBot
20,Just two weeks until we walk from Ipswich to Newcastle (via Holland) - guided by @googlemaps to @makerfaire_uk - http://bit.ly/6qaMgR,2/23/2010,CuriosityCol
21,"So, just to tease, the @wiredgeekdad booth at @makerfaire is set to be 50% bigger than last year!",2/27/2010,KenDenmead
22,Wow! Stanford CS prof wondered if I knew departs were looking at student applications to see if they exhibited at #makerfaire. (via @make),2/28/2010,johnbaichtal
23,RT @makerfaire_uk: A taste of what's to come at Maker Faire UK in Newcastle http://bit.ly/ddH6dQ,2/4/2010,alabamathirteen
24,Heading up to Newcastle tomorrow to help run (& twitter from) @makerfaire_uk http://bit.ly/c2GT1O Will be a whole heap of hardware hackery.,3/10/2010,Simonchappell
25,"We're hosting a hackerspaces meetup at @makerfaire_uk in Newcastle tomorrow evening - if you're around, come join us! http://bit.ly/9khzRS",3/11/2010,londonhackspace
26,"All Hands Active, Ann Arbor hackerspace, hosting Maker Faire brainstorm: 

The fine folks at  All Hands Active, a... http://bit.ly/dvTAN0",3/11/2010,makerfaire
27,Come along to #makerfaireuk this weekend! http://is.gd/ac5B9 part of the excellent Newcastle @ScienceFest #makerfaire,3/11/2010,girl_geeks
28,UK Hackers: Come hack with sugru at Maker Faire this weekend! #makerfaire #newcastle http://bit.ly/8qmHJl  (via @projectsugru) Please RT!,3/11/2010,attopartners
29,YAY! my talk for #IgniteLDN2 is online http://bit.ly/cuW9KU Thanks for the great evening @ignite_london and see you at @makerfaire_uk,3/11/2010,b3cft
30,Today is the day! Newcastle #Sciencefest starts today and @makerfaire_uk starts tomorrow! http://bit.ly/9qKJld Yippeee! (via @ScienceFest),3/12/2010,girl_geeks
31,"Blogging (mini/photo): ""Midi-octopus at Maker Faire"" http://bit.ly/dkMo4I thanks @makerfaire_uk",3/16/2010,midioctopus
32,Photos from #makerfaire http://bit.ly/atTXhr,3/16/2010,smithylad
33,Top BBC coverage of #makerfaire_uk (featuring @lee_patterson82 from @scienceatlife) http://is.gd/aLMYQ,3/17/2010,arlloyd
34,RT @ makerfaire_uk Woohoo! #makerfaireuk today on the BBC news homepage! video link here http://bit.ly/90cyOI (via @ljrich),3/25/2010,tenbus_uk
35,Working on some lovely LED based bling for @makerfaire_uk ( http://yfrog.com/8b6fgj ) (you know it's serious when the TIP120's come out),3/4/2010,oomlout
36,Just had a demo of some amazing Hexapod robots. They'll be shown at the #makerfaire in Newcastle w/e after next http://yfrog.com/j7s50j,3/4/2010,RosieHattersley
37,"A lovely morning in Ipswich, ready to walk the 1st leg to Newcastle http://atob.curiositycollective.org #atobtocc @makerfaire_uk @googlemaps",3/6/2010,davidchatting
38,"And whilst making @Bubblino's fan page, I found this great video interview from last year's #makerfaire_uk http://www.vimeo.com/5111140",3/9/2010,amcewen
39,"MakerFaire is happening in Boston this Saturday, but has gone nearly unpublicized (http://bit.ly/cNDcIV) Support the Boston Maker community!",4/20/2010,josephflaherty
40,"Photos from this Months ""Open Make "" are up: http://bit.ly/bHpre4 #Make #Makezine #MakerFaire #exploratorium",4/24/2010,KeNTKB
41,The ShopBot crew is packing the final few items for 2010 Bay Area #MakerFaire. Will we see you there? http://ht.ly/1JBkD,5/11/2010,ShopBot
42,"Hey SF, do you like to build stuff? If so, we have 4 passes(2 adult & 2 student) for www.MakerFaire.com to give away. 

RTweet+",5/13/2010,TamaleLady
43,"MakerFaire next weekend in San Mateo! Mindblowing (& awesome for kids) I'll be there w/ GeekDad, DIYDrones crew. http://www.makerfaire.com/",5/14/2010,chr1sa
44,I'm liking what @AJtheFiesta is doing with American Journey 2.0 http://bit.ly/dCYtw0 Glad Ford is coming to @makerfaire Bay Area.,5/16/2010,timoreilly
45,"Here's the @craft booth demo schedule for #makerfaire this wknd! knit, sew, embroider, & more. Come & talk to me! http://bit.ly/cvAQvv",5/17/2010,coquette
46,Posted the source code to the Make Controller demo I'll have in the @MakerShed at @MakerFaire http://bit.ly/MCAjax,5/17/2010,bjepson
47,jaw-dropping list of Makerfaire exhibits from @dalepd http://fax.org/dwlnon must-see if you're in Bay Area.,5/18/2010,carlmalamud
48,Another fav interview from 2009 #makerfaire - @mercedespens Art Car http://www.youtube.com/watch?v=twqZE7TflBY&sns=em,5/19/2010,quietaction
49,Fun interview I did for @artfuture at last year's #makerfaire - Speed Vest http://www.youtube.com/watch?v=_h85nF-JfTw&sns=em,5/19/2010,quietaction
50,We'll be performing at @makerfaire this Sunday. Also the amazing techies behind our latest vid are presenting Saturday. http://bit.ly/okgomf,5/19/2010,okgo
51,Are you going to @MakerFaire this weekend? Don’t miss #HP CTO @PhilMcKinney – first 25 to find him win a surprise: http://bit.ly/bG5iuz ^MB,5/20/2010,HP
52,Singularity U cafe at @makerfaire this weekend: http://makerfaire.com/pub/e/3654,5/20/2010,timoreilly
53,"Check out ""Singularity University Cafe"" @MakerFaire this weekend -- we're giving away a $15k slot to an EP! http://bit.ly/aOVvNC #makerfaire",5/20/2010,singularityu
54,"The video feed from #MakerFaire is pretty awesome check it out on ustream
http://cot.ag/b0HeGl (Chris @make)",5/21/2010,edumakerfaire
55,RT @debaoki: The steampunk snail @ #makerfaire -- fire comes out of it's antennae!  http://twitpic.com/1q5q3j,5/22/2010,malki
56,Video of panel with Ford about automakers 2.0 at #makerfaire http://bit.ly/bZu2gM Also my remarks about makers and innovation at about 13:30,5/22/2010,timoreilly
57,Glimpses from our #StarWars puppet craft demo at @Makerfaire!  http://twitpic.com/1q7v5n &   http://twitpic.com/1q7va3 (via @bonniegrrl),5/22/2010,starwars
58,Anyone in the Bay Area should make their way to @MakerFaire tomorrow. Amazing event! I can't believe how much inspirational stuff I saw!,5/22/2010,josephflaherty
59,"Fantastic NPR piece on creativity, innovation & learning by failing at #MakerFaire  http://bit.ly/ans0mR HT @BenWillisSF",5/22/2010,marciamarcia
60,How to Make a Floating Head Costume http://bit.ly/bRTZEU #MakerFaire,5/22/2010,PopMech
61,"#MakerFaire @mxweas got to ask @donttrythis if his iPad's jailbroken (it's not :( video later) by holding up a giant iPad ""?"" (BiggerWords).",5/22/2010,saurik
62,.@Bonniegrrl is starting her demo for making #StarWars paper sack puppets! #MakerFaire  http://yfrog.com/9ddb8j,5/22/2010,craft
63,Topping our #subsaturday list today: channels from @greysonchance & @makerfaire Whom do you think everyone should subscribe to on YouTube?,5/22/2010,YouTube
64,"For those of you who can't ""make it"" to the @makerfaire - FORA.tv is streaming the speaker sessions http://bit.ly/dl4HeP",5/22/2010,blogityourself
65,Don't forget SF Maker Faire 2010 this weekend: http://bit.ly/bl2za6 #makerfaire,5/22/2010,jyri
66,"OH at #makerfaire: ""My robot was run over...by a cupcake.""",5/23/2010,sippingink
67,THNX! RT @rxmxa: @okgo played an acoustic underwater gig at #MakerFaire!  LOVE.  #okgowet http://twitpic.com/1qiudv,5/23/2010,okgo
68,"Hey @makerfaire-ers, stop by GeekDad's booth to see a frickin' awesome Etch-a-Sketch of Timmy by @jonathanhliu http://yfrog.com/b92mcj",5/23/2010,thinkgeek
69,Doctor Who Theme Sung with Tesla Coils!!! played by @arcattack  http://bit.ly/c2mGUp #doctorwho #makerfaire,5/23/2010,jollyroger
